Customer_Identifier,Recency_Days,Frequency_Orders,Monetary_Value,Discount_Sensitivity
CUSTOMER_0001,23.0,1,165.29,0.2
CUSTOMER_0002,3.0,3,278.69,0.45
CUSTOMER_0003,8.0,2,147.68,0.1
CUSTOMER_0004,1.0,9,1048.67,0.17
CUSTOMER_0005,19.0,5,282.34,0.24
CUSTOMER_0006,11.0,3,530.44,0.25
CUSTOMER_0007,27.0,1,72.44,0.5
CUSTOMER_0008,11.0,20,2904.44,0.22
CUSTOMER_0009,11.0,6,688.87,0.47
CUSTOMER_0010,41.0,7,690.06,0.47
CUSTOMER_0011,1.0,18,989.5,0.11
CUSTOMER_0012,70.0,9,1168.32,0.26
CUSTOMER_0013,57.0,6,713.91,0.14
CUSTOMER_0014,33.0,5,413.6,0.42
CUSTOMER_0015,27.0,4,659.72,0.12
CUSTOMER_0016,67.0,7,609.0,0.21
CUSTOMER_0017,6.0,17,1780.93,0.44
CUSTOMER_0018,2.0,8,926.75,0.34
CUSTOMER_0019,8.0,9,485.48,0.22
CUSTOMER_0020,47.0,3,536.96,0.39
CUSTOMER_0021,1.0,7,660.94,0.17
CUSTOMER_0022,26.0,7,394.48,0.18
CUSTOMER_0023,162.0,2,194.52,0.15
CUSTOMER_0024,58.0,5,608.79,0.33
CUSTOMER_0025,22.0,8,889.56,0.17
CUSTOMER_0026,2.0,5,673.71,0.51
CUSTOMER_0027,53.0,8,405.46,0.76
CUSTOMER_0028,27.0,16,1341.94,0.14
CUSTOMER_0029,4.0,17,2629.22,0.23
CUSTOMER_0030,3.0,4,258.07,0.38
CUSTOMER_0031,72.0,5,823.0,0.33
CUSTOMER_0032,33.0,12,705.04,0.2
CUSTOMER_0033,53.0,5,785.86,0.33
CUSTOMER_0034,63.0,11,1061.06,0.37
CUSTOMER_0035,25.0,2,250.94,0.38
CUSTOMER_0036,22.0,2,130.65,0.54
CUSTOMER_0037,17.0,13,704.53,0.4
CUSTOMER_0038,11.0,4,310.64,0.22
CUSTOMER_0039,17.0,8,510.82,0.15
CUSTOMER_0040,45.0,6,513.55,0.22
CUSTOMER_0041,28.0,3,332.67,0.31
CUSTOMER_0042,67.0,10,1257.62,0.07
CUSTOMER_0043,18.0,2,317.57,0.25
CUSTOMER_0044,28.0,6,793.69,0.61
CUSTOMER_0045,30.0,2,222.62,0.79
CUSTOMER_0046,27.0,10,1001.76,0.31
CUSTOMER_0047,36.0,9,993.15,0.08
CUSTOMER_0048,8.0,9,944.75,0.35
CUSTOMER_0049,22.0,2,293.43,0.07
CUSTOMER_0050,3.0,4,295.67,0.2
CUSTOMER_0051,15.0,18,816.11,0.32
CUSTOMER_0052,20.0,5,691.76,0.37
CUSTOMER_0053,32.0,4,288.63,0.54
CUSTOMER_0054,90.0,4,642.52,0.07
CUSTOMER_0055,28.0,4,655.06,0.26
CUSTOMER_0056,41.0,2,102.62,0.18
CUSTOMER_0057,21.0,6,331.69,0.39
CUSTOMER_0058,30.0,2,205.84,0.11
CUSTOMER_0059,2.0,4,543.66,0.09
CUSTOMER_0060,9.0,2,171.91,0.28
CUSTOMER_0061,13.0,4,569.23,0.04
CUSTOMER_0062,19.0,5,621.57,0.46
CUSTOMER_0063,1.0,7,627.8,0.36
CUSTOMER_0064,5.0,1,54.03,0.25
CUSTOMER_0065,10.0,10,1468.55,0.19
CUSTOMER_0066,107.0,8,594.23,0.27
CUSTOMER_0067,12.0,7,1120.95,0.26
CUSTOMER_0068,20.0,1,102.2,0.52
CUSTOMER_0069,7.0,12,1455.31,0.53
CUSTOMER_0070,28.0,2,313.45,0.52
CUSTOMER_0071,10.0,16,2545.85,0.55
CUSTOMER_0072,7.0,3,326.0,0.35
