Week,Total_Sales,Trend,Sine_52_Harmonic,Cosine_52_Harmonic,Collection_Drop_Indicator,Lag_1_Sales,Lag_2_Sales
0,102145.03,0,0.0,1.0,0.0,102145.03,102145.03
1,81635.7,1,0.1205,0.9927,0.0,102145.03,102145.03
2,84154.88,2,0.2393,0.9709,0.0,81635.7,102145.03
3,82309.43,3,0.3546,0.935,0.0,84154.88,81635.7
4,89387.34,4,0.4647,0.8855,0.0,82309.43,84154.88
5,107693.91,5,0.5681,0.823,0.0,89387.34,82309.43
6,84868.0,6,0.6631,0.7485,0.0,107693.91,89387.34
7,91554.06,7,0.7485,0.6631,0.0,84868.0,107693.91
8,106976.64,8,0.823,0.5681,0.0,91554.06,84868.0
9,94994.51,9,0.8855,0.4647,0.0,106976.64,91554.06
10,106943.93,10,0.935,0.3546,1.0,94994.51,106976.64
11,95638.71,11,0.9709,0.2393,0.0,106943.93,94994.51
12,105314.45,12,0.9927,0.1205,0.0,95638.71,106943.93
13,102041.12,13,1.0,-0.0,0.0,105314.45,95638.71
14,105761.11,14,0.9927,-0.1205,0.0,102041.12,105314.45
15,103829.95,15,0.9709,-0.2393,0.0,105761.11,102041.12
16,104685.24,16,0.935,-0.3546,0.0,103829.95,105761.11
17,104075.27,17,0.8855,-0.4647,0.0,104685.24,103829.95
18,111642.93,18,0.823,-0.5681,0.0,104075.27,104685.24
19,104928.42,19,0.7485,-0.6631,0.0,111642.93,104075.27
20,102882.36,20,0.6631,-0.7485,0.0,104928.42,111642.93
21,106891.3,21,0.5681,-0.823,0.0,102882.36,104928.42
22,130354.05,22,0.4647,-0.8855,0.0,106891.3,102882.36
23,112750.72,23,0.3546,-0.935,0.0,130354.05,106891.3
24,148378.24,24,0.2393,-0.9709,0.0,112750.72,130354.05
25,119244.09,25,0.1205,-0.9927,0.0,148378.24,112750.72
26,114660.67,26,-0.0,-1.0,0.0,119244.09,148378.24
27,116151.85,27,-0.1205,-0.9927,0.0,114660.67,119244.09
28,113020.09,28,-0.2393,-0.9709,0.0,116151.85,114660.67
29,107415.66,29,-0.3546,-0.935,0.0,113020.09,116151.85
30,111248.52,30,-0.4647,-0.8855,0.0,107415.66,113020.09
31,114715.17,31,-0.5681,-0.823,0.0,111248.52,107415.66
32,121914.05,32,-0.6631,-0.7485,0.0,114715.17,111248.52
33,113383.97,33,-0.7485,-0.6631,0.0,121914.05,114715.17
34,117679.69,34,-0.823,-0.5681,0.0,113383.97,121914.05
35,110268.35,35,-0.8855,-0.4647,0.0,117679.69,113383.97
36,120991.97,36,-0.935,-0.3546,1.0,110268.35,117679.69
37,104226.33,37,-0.9709,-0.2393,0.0,120991.97,110268.35
38,100415.59,38,-0.9927,-0.1205,0.0,104226.33,120991.97
39,99342.44,39,-1.0,-0.0,0.0,100415.59,104226.33
40,93095.14,40,-0.9927,0.1205,0.0,99342.44,100415.59
41,101407.52,41,-0.9709,0.2393,0.0,93095.14,99342.44
42,109254.9,42,-0.935,0.3546,0.0,101407.52,93095.14
43,101411.7,43,-0.8855,0.4647,0.0,109254.9,101407.52
44,94983.12,44,-0.823,0.5681,0.0,101411.7,109254.9
