Week,Influencer_Social_Spending,Paid_Search_Spending,Brand_Public_Relations_Out_Of_Home_Spending,Markdown_Promotional_Spending,Total_Sales
0,31352.8,22393.16,7372.12,9358.08,102145.03
1,9788.78,7623.31,6809.92,2692.02,81635.7
2,9209.12,9983.86,9150.81,3723.47,84154.88
3,9209.22,10673.33,8054.4,2260.27,82309.43
4,24664.56,25206.18,3365.91,2066.66,89387.34
5,16505.81,12655.41,12753.76,14883.12,107693.91
6,7884.56,10654.71,6940.25,1393.92,84868.0
7,14617.64,8657.03,10510.79,4541.74,91554.06
8,27118.31,37096.65,12029.52,3860.68,106976.64
9,2414.63,11273.76,5092.32,4737.45,94994.51
10,5324.39,6339.05,5381.88,1712.63,106943.93
11,12853.81,16873.82,5847.95,2731.7,95638.71
12,23390.04,15493.44,14100.96,5754.28,105314.45
13,9258.82,14649.99,3883.51,5082.14,102041.12
14,7491.27,8721.55,15456.53,9286.94,105761.11
15,25097.03,16781.91,8001.84,4785.67,103829.95
16,7204.68,7236.43,8338.56,6093.16,104685.24
17,19519.56,16420.94,11731.23,2794.56,104075.27
18,10578.75,10496.38,7475.48,5746.75,111642.93
19,5142.05,9510.01,12833.17,1845.88,104928.42
20,16992.1,9374.61,5087.99,2812.75,102882.36
21,4514.35,12720.58,15183.2,3689.05,106891.3
22,4130.53,14031.46,5342.18,17557.44,130354.05
23,12004.92,15698.42,15503.39,2536.55,112750.72
24,16253.96,22606.08,5433.8,26424.84,148378.24
25,11825.65,18687.28,5953.27,6402.14,119244.09
26,9928.95,12199.02,8933.65,5668.47,114660.67
27,8818.27,24071.2,4264.26,4564.75,116151.85
28,7931.84,13160.09,6961.14,4056.24,113020.09
29,19168.94,10030.68,8180.57,3093.26,107415.66
30,28438.75,17298.39,12316.41,3323.16,111248.52
31,18356.49,22726.69,6219.38,2596.33,114715.17
32,15021.28,19376.15,3256.91,10564.64,121914.05
33,33399.84,17006.42,8909.74,6179.84,113383.97
34,18917.83,9993.28,7860.86,10512.75,117679.69
35,39554.71,22953.58,9478.35,3041.84,110268.35
36,6070.35,3761.45,4679.81,2215.2,120991.97
37,8771.7,13032.82,12600.95,4537.85,104226.33
38,17232.33,14377.02,4680.97,2660.95,100415.59
39,9499.33,7089.65,13647.2,5111.58,99342.44
40,16902.99,12737.58,15263.9,1412.35,93095.14
41,48849.73,31082.92,4904.02,926.93,101407.52
42,13207.53,9725.59,4967.26,11084.42,109254.9
43,6983.31,6282.8,10238.73,10727.65,101411.7
44,10434.36,9686.82,16202.78,5685.19,94983.12
45,24498.53,13640.74,18148.66,6143.78,98497.08
46,11245.42,19727.99,4762.5,9309.06,103948.96
47,8830.34,13782.46,5552.89,4921.5,95348.7
48,9295.16,10228.86,21075.02,1600.32,83511.82
49,13173.49,11991.23,8669.25,2728.1,83078.64
50,6209.21,11748.82,6368.06,17457.81,108082.72
51,7713.42,8114.75,10426.27,2085.14,84104.63
52,17832.92,11806.39,6967.83,3637.71,89101.54
53,12961.39,9497.73,18137.93,8631.12,96114.58
54,11313.42,6848.52,5086.86,4841.41,88314.66
55,18327.31,19406.22,8130.82,4987.89,94883.42
56,6706.65,10464.66,24766.8,3655.1,88258.87
57,8666.34,10315.68,12602.06,6663.66,91324.45
58,12720.19,10650.45,10513.0,7589.85,96377.6
59,12464.35,8390.64,18565.18,2630.11,90100.55
60,3835.31,4950.74,10005.78,3433.31,89334.82
61,17926.03,9973.02,32785.49,2172.08,91662.26
62,9647.46,7829.43,11315.82,5975.34,115670.71
63,13529.58,8611.76,9556.74,5588.12,98007.48
64,12438.97,18556.52,14987.72,15268.02,119729.11
65,10187.74,13346.52,10326.59,4670.9,102577.72
